
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:AB:89:F6:48:CE, 2023-08-27 17:58:31, 2023-08-27 18:00:36,  1, 720, WPA2, CCMP, PSK, -58,       51,      930,   0.  0.  0.  0,   7, Procase, 
F4:6F:ED:CB:84:00, 2023-08-27 17:58:31, 2023-08-27 18:00:36,  1, 130, WPA2 WPA, CCMP, PSK, -10,       66,        6,   0.  0.  0.  0,   5, Bryan, 
26:96:82:0C:4A:C6, 2023-08-27 17:58:31, 2023-08-27 18:00:29,  1, 130, WPA2, CCMP, PSK, -31,        2,        0,   0.  0.  0.  0,   7, Alfredo, 
CC:ED:DC:51:0E:17, 2023-08-27 17:58:31, 2023-08-27 18:00:36,  1, 130, WPA2, CCMP, PSK, -70,       58,      206,   0.  0.  0.  0,   5, Kiven, 
6C:A4:D1:AE:42:E8, 2023-08-27 17:58:31, 2023-08-27 18:00:33,  1, 130, WPA2 WPA, CCMP, PSK, -19,       34,        1,   0.  0.  0.  0,   9, fh_ae42e8, 
64:64:4A:44:9E:61, 2023-08-27 17:58:32, 2023-08-27 18:00:36,  1, 130, WPA2, CCMP TKIP, PSK, -79,       34,       20,   0.  0.  0.  0,   6, Martin, 
6C:D8:19:A6:94:90, 2023-08-27 17:58:32, 2023-08-27 18:00:34,  8, 130, WPA2, CCMP, PSK, -18,       95,       23,   0.  0.  0.  0,   2, XD, 
6C:A4:D1:8B:4B:00, 2023-08-27 17:58:33, 2023-08-27 18:00:35,  4, 270, WPA2 WPA, CCMP, PSK, -24,       46,        5,   0.  0.  0.  0,   5, Terry, 
CC:ED:DC:57:C0:A1, 2023-08-27 17:58:34, 2023-08-27 18:00:32, 11, 130, WPA2, CCMP, PSK, -17,       55,       12,   0.  0.  0.  0,   7, Salgado, 
78:29:ED:13:99:1F, 2023-08-27 17:58:34, 2023-08-27 18:00:35, 11, 130, WPA2, CCMP, PSK, -26,       47,        0,   0.  0.  0.  0,   8, Roberto , 
78:29:ED:08:52:97, 2023-08-27 17:58:34, 2023-08-27 18:00:36, 11, 130, WPA2, CCMP, PSK, -27,       62,       12,   0.  0.  0.  0,   7, lorenzo, 
D6:59:60:0F:65:2C, 2023-08-27 17:58:34, 2023-08-27 18:00:36, 11, 360, WPA2, CCMP, PSK, -18,       74,      639,   0.  0.  0.  0,  20, Xiaomi 11 Lite 5G NE, 
E4:AB:89:6D:33:50, 2023-08-27 17:58:34, 2023-08-27 18:00:36, 11, 130, WPA2, CCMP, PSK, -24,       60,        1,   0.  0.  0.  0,   7, Rodolfo, 
90:55:DE:4E:C2:E8, 2023-08-27 17:58:34, 2023-08-27 18:00:18, 11, 130, WPA2 WPA, CCMP, PSK, -34,       14,        3,   0.  0.  0.  0,   9, Mazzinger, 
80:69:33:EC:C2:54, 2023-08-27 17:58:34, 2023-08-27 18:00:36,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -15,      111,       13,   0.  0.  0.  0,  11, Mywentz 2.4, 
60:E3:27:57:D6:6C, 2023-08-27 17:58:34, 2023-08-27 18:00:36,  6, 135, WPA2, CCMP, PSK, -27,       55,        0,   0.  0.  0.  0,  17, Red Comadre Daira, 
78:29:ED:89:07:5F, 2023-08-27 17:58:34, 2023-08-27 18:00:36,  6, 130, WPA2, CCMP, PSK, -28,       49,        0,   0.  0.  0.  0,   8, Trinidad, 
CE:FA:4D:25:31:47, 2023-08-27 17:58:34, 2023-08-27 18:00:37,  6, 180, WPA2, CCMP, PSK, -24,       75,        0,   0.  0.  0.  0,   8, Motojuan, 
68:59:11:1A:9F:E8, 2023-08-27 17:58:34, 2023-08-27 18:00:36, 12, 270, WPA2, CCMP, PSK, -31,       42,        3,   0.  0.  0.  0,   9, Francisca, 
78:29:ED:15:2F:78, 2023-08-27 17:58:34, 2023-08-27 18:00:36,  1, 130, WPA2, CCMP, PSK, -83,       20,       63,   0.  0.  0.  0,   8, fernanda, 
78:29:ED:13:B6:02, 2023-08-27 17:58:34, 2023-08-27 18:00:36,  1, 130, WPA2, CCMP, PSK, -22,       35,        0,   0.  0.  0.  0,  21, movistar2,4GHZ_13B602, 
2C:96:82:0F:68:3E, 2023-08-27 17:58:37, 2023-08-27 18:00:35, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
2E:EA:DC:A3:78:D7, 2023-08-27 17:58:38, 2023-08-27 18:00:36,  6, 130, WPA2, CCMP, PSK, -25,      107,        0,   0.  0.  0.  0,   6, Carmen, 
CC:ED:DC:6A:F9:BF, 2023-08-27 17:58:38, 2023-08-27 18:00:21,  6, 130, WPA2, CCMP, PSK, -31,        3,        0,   0.  0.  0.  0,  10, Cristóbal, 
94:91:7F:CF:37:96, 2023-08-27 17:58:41, 2023-08-27 17:58:41, 11, 130, WPA2, CCMP, PSK, -31,        2,        0,   0.  0.  0.  0,   8, Cristina, 
E4:AB:89:15:51:3F, 2023-08-27 17:58:41, 2023-08-27 18:00:36,  6, 130, WPA2, CCMP, PSK, -27,        6,        2,   0.  0.  0.  0,  21, movistar2,4GHZ_15513F, 
C8:B4:22:24:C1:EF, 2023-08-27 17:58:48, 2023-08-27 18:00:00, 11, 130, WPA2, CCMP, PSK, -30,        7,        0,   0.  0.  0.  0,  27, GAS EL BOSQUE DE HUECHURABA, 
68:59:11:19:B3:E8, 2023-08-27 17:58:48, 2023-08-27 18:00:11,  6, 270, WPA2, CCMP, PSK, -84,        6,        4,   0.  0.  0.  0,   9, fh_19b3e8, 
88:DE:7C:71:7A:1F, 2023-08-27 17:58:52, 2023-08-27 17:58:52, 11, 130, WPA2, CCMP, PSK, -31,        2,        0,   0.  0.  0.  0,  11, Otra vez tu, 
6C:A4:D1:8C:7A:58, 2023-08-27 17:58:52, 2023-08-27 18:00:00, 11, 130, WPA2 WPA, CCMP, PSK, -21,        5,        0,   0.  0.  0.  0,   9, fh_8c7a58, 
44:48:B9:B0:86:A8, 2023-08-27 17:58:52, 2023-08-27 17:59:49, 11, 130, WPA2, CCMP, PSK, -32,        3,        0,   0.  0.  0.  0,   9, Yordy 2.4, 
78:29:ED:15:98:D2, 2023-08-27 17:58:55, 2023-08-27 18:00:28, 11, 130, WPA2, CCMP, PSK, -29,        6,        0,   0.  0.  0.  0,   9, zonaazul1, 
CC:ED:DC:33:68:45, 2023-08-27 17:58:55, 2023-08-27 18:00:28, 11, 130, WPA2, CCMP, PSK, -25,       11,        9,   0.  0.  0.  0,  14, FamiliaRomeroj, 
6C:D8:19:67:67:E8, 2023-08-27 17:58:55, 2023-08-27 18:00:35, 11, 270, WPA2, CCMP, PSK, -33,        6,        1,   0.  0.  0.  0,   7, Maribel, 
78:29:ED:12:E6:D2, 2023-08-27 17:58:56, 2023-08-27 18:00:36,  1, 130, WPA2, CCMP, PSK, -85,       10,       14,   0.  0.  0.  0,   6, Carmen, 
78:29:ED:B1:A3:21, 2023-08-27 17:58:59, 2023-08-27 18:00:21, 11, 130, WPA2, CCMP, PSK, -32,       10,        0,   0.  0.  0.  0,  12, henriquez_pz, 
84:AA:9C:E1:DD:5E, 2023-08-27 17:59:14, 2023-08-27 18:00:33,  1, 130, WPA2, CCMP, PSK, -84,        3,        1,   0.  0.  0.  0,  19, RockForEver 2.4Ghz., 
E4:AB:89:05:93:5C, 2023-08-27 18:00:00, 2023-08-27 18:00:00,  1, 130, WPA2, CCMP, PSK, -28,        1,        0,   0.  0.  0.  0,   8, La mejor, 
7C:DB:98:E0:A5:DF, 2023-08-27 18:00:18, 2023-08-27 18:00:22,  1, 130, WPA2, CCMP, PSK, -31,        1,        0,   0.  0.  0.  0,   7, Eduardo, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:FC:36:54:4D:B9, 2023-08-27 17:58:31, 2023-08-27 18:00:36, -59,      937, E4:AB:89:F6:48:CE,
BC:6A:D1:BD:33:9C, 2023-08-27 17:58:31, 2023-08-27 18:00:15, -59,       13, E4:AB:89:F6:48:CE,
26:29:7F:84:A4:D1, 2023-08-27 17:58:31, 2023-08-27 17:59:39, -83,      199, CC:ED:DC:51:0E:17,
E4:AB:89:F6:48:CE, 2023-08-27 17:58:31, 2023-08-27 18:00:36,  -1,       17, E4:AB:89:F6:48:CE,
18:87:40:49:76:85, 2023-08-27 17:58:31, 2023-08-27 18:00:23, -73,       31, CC:ED:DC:51:0E:17,
44:F0:34:27:D5:AC, 2023-08-27 17:58:31, 2023-08-27 18:00:36, -81,     2117, 64:64:4A:44:9E:61,Martin
A4:9B:4F:DA:28:98, 2023-08-27 17:58:32, 2023-08-27 17:59:29,  -1,       16, 6C:D8:19:A6:94:90,
12:85:7E:54:5A:F5, 2023-08-27 17:58:34, 2023-08-27 17:58:34, -88,        1, (not associated) ,
72:E3:27:57:D6:6C, 2023-08-27 17:58:34, 2023-08-27 18:00:36, -83,      475, 78:29:ED:08:52:97,lorenzo
C0:38:96:FE:DF:B7, 2023-08-27 17:58:36, 2023-08-27 18:00:36, -81,       44, (not associated) ,HELLEN 2,4Ghz
90:CD:B6:A8:33:99, 2023-08-27 17:58:37, 2023-08-27 18:00:28, -63,      639, D6:59:60:0F:65:2C,
CC:D4:2E:10:0E:00, 2023-08-27 17:58:37, 2023-08-27 18:00:35, -84,        5, 2C:96:82:0F:68:3E,
BE:46:C5:EC:1D:87, 2023-08-27 17:58:41, 2023-08-27 17:58:41,  -1,        2, E4:AB:89:15:51:3F,
C6:65:65:EF:B3:F0, 2023-08-27 17:58:43, 2023-08-27 18:00:07, -77,        2, (not associated) ,
F8:B9:5A:B0:30:44, 2023-08-27 17:58:48, 2023-08-27 18:00:25, -84,        8, 2C:96:82:0F:68:3E,
1A:E5:52:31:9E:DC, 2023-08-27 17:58:51, 2023-08-27 17:58:51, -88,        2, (not associated) ,
30:FD:38:C5:AF:48, 2023-08-27 17:58:55, 2023-08-27 17:58:55, -87,        1, 90:55:DE:4E:C2:E8,
E0:D8:C4:81:F1:68, 2023-08-27 17:58:56, 2023-08-27 18:00:36,  -1,       55, 78:29:ED:15:2F:78,
38:B1:DB:2B:4C:00, 2023-08-27 17:59:00, 2023-08-27 17:59:00, -65,        1, CC:ED:DC:51:0E:17,
66:64:4A:04:9E:61, 2023-08-27 17:59:02, 2023-08-27 18:00:36, -78,       15, 78:29:ED:12:E6:D2,Carmen
DA:A1:19:3E:3F:9B, 2023-08-27 17:59:07, 2023-08-27 17:59:27, -29,        6, (not associated) ,
54:BA:D6:8B:B7:24, 2023-08-27 17:59:10, 2023-08-27 17:59:28, -79,        3, CC:ED:DC:51:0E:17,
34:F1:50:CE:40:87, 2023-08-27 17:59:14, 2023-08-27 17:59:39,  -1,        2, F4:6F:ED:CB:84:00,
C8:C2:FA:AA:FA:9D, 2023-08-27 17:59:17, 2023-08-27 18:00:21, -82,        5, 80:69:33:EC:C2:54,
F4:30:8B:30:26:5C, 2023-08-27 17:59:18, 2023-08-27 18:00:11, -83,       14, CC:ED:DC:51:0E:17,Kiven,ICB
A0:6F:AA:E7:89:19, 2023-08-27 17:59:21, 2023-08-27 17:59:21,  -1,        1, 78:29:ED:15:2F:78,
44:CB:8B:2A:01:CA, 2023-08-27 17:59:21, 2023-08-27 17:59:21, -62,        1, F4:6F:ED:CB:84:00,
FA:AE:71:07:19:C7, 2023-08-27 17:59:21, 2023-08-27 17:59:21,  -1,        7, 78:29:ED:15:2F:78,
D4:F5:47:4E:CE:1C, 2023-08-27 17:59:26, 2023-08-27 18:00:30, -73,       19, (not associated) ,Procase
8A:DC:0D:FF:50:44, 2023-08-27 17:59:27, 2023-08-27 17:59:28, -88,        3, (not associated) ,
6A:EF:B0:EE:B0:FB, 2023-08-27 17:59:30, 2023-08-27 17:59:31, -52,        8, (not associated) ,
D8:9E:61:29:88:5D, 2023-08-27 17:59:32, 2023-08-27 18:00:36, -67,        4, E4:AB:89:F6:48:CE,
F0:EF:86:3E:EB:29, 2023-08-27 17:59:33, 2023-08-27 17:59:33, -67,        1, (not associated) ,Procase
86:ED:41:82:78:ED, 2023-08-27 17:59:34, 2023-08-27 17:59:52, -68,       11, 6C:A4:D1:8B:4B:00,
3A:6C:00:BD:30:E0, 2023-08-27 17:59:42, 2023-08-27 17:59:42,  -1,        2, 68:59:11:19:B3:E8,
2A:6E:93:DB:76:67, 2023-08-27 17:59:44, 2023-08-27 17:59:44, -84,        3, (not associated) ,
E2:7F:F3:A3:7B:36, 2023-08-27 17:59:58, 2023-08-27 17:59:59, -63,        4, (not associated) ,
DE:CD:24:B8:99:86, 2023-08-27 18:00:07, 2023-08-27 18:00:07, -64,        4, (not associated) ,
24:FC:E5:A1:CD:1A, 2023-08-27 18:00:07, 2023-08-27 18:00:07, -80,        1, 80:69:33:EC:C2:54,
D2:5A:16:D9:19:C0, 2023-08-27 18:00:11, 2023-08-27 18:00:11, -82,        2, (not associated) ,
64:64:4A:44:9E:61, 2023-08-27 18:00:12, 2023-08-27 18:00:12, -75,        1, (not associated) ,Carmen
C0:D2:F3:BA:F4:BF, 2023-08-27 18:00:20, 2023-08-27 18:00:28, -85,       29, (not associated) ,lissette
F0:F0:A4:87:F9:F7, 2023-08-27 18:00:25, 2023-08-27 18:00:25, -69,        1, D6:59:60:0F:65:2C,
F8:4F:AD:69:E5:AB, 2023-08-27 18:00:26, 2023-08-27 18:00:26, -88,        1, 6C:D8:19:A6:94:90,

