Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Procase;E4:AB:89:F6:48:CE;;1;No;WPA2,AES-CCM;No;720.0;0;51;0;930;0;0;930;;;Sun Aug 27 17:58:31 2023;Sun Aug 27 18:00:36 2023;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Bryan;F4:6F:ED:CB:84:00;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;66;0;6;0;0;6;;;Sun Aug 27 17:58:31 2023;Sun Aug 27 18:00:36 2023;-10;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Alfredo;26:96:82:0C:4A:C6;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Sun Aug 27 17:58:31 2023;Sun Aug 27 18:00:29 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Kiven;CC:ED:DC:51:0E:17;;1;No;WPA2,AES-CCM;No;130.0;0;58;0;206;0;0;206;;;Sun Aug 27 17:58:31 2023;Sun Aug 27 18:00:36 2023;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;fh_ae42e8;6C:A4:D1:AE:42:E8;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;34;0;1;0;0;1;;;Sun Aug 27 17:58:31 2023;Sun Aug 27 18:00:33 2023;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Martin;64:64:4A:44:9E:61;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;34;0;20;0;0;20;;;Sun Aug 27 17:58:32 2023;Sun Aug 27 18:00:36 2023;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;XD;6C:D8:19:A6:94:90;;8;No;WPA2,AES-CCM;No;130.0;0;95;0;23;0;0;23;;;Sun Aug 27 17:58:32 2023;Sun Aug 27 18:00:34 2023;-18;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Terry;6C:A4:D1:8B:4B:00;;4;No;WPA2,WPA,AES-CCM;No;270.0;0;46;0;5;0;0;5;;;Sun Aug 27 17:58:33 2023;Sun Aug 27 18:00:35 2023;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Salgado;CC:ED:DC:57:C0:A1;;11;No;WPA2,AES-CCM;No;130.0;0;55;0;12;0;0;12;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:32 2023;-17;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Roberto ;78:29:ED:13:99:1F;;11;No;WPA2,AES-CCM;No;130.0;0;47;0;0;0;0;0;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:35 2023;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;lorenzo;78:29:ED:08:52:97;;11;No;WPA2,AES-CCM;No;130.0;0;62;0;12;0;0;12;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Xiaomi 11 Lite 5G NE;D6:59:60:0F:65:2C;;11;No;WPA2,AES-CCM;No;360.0;0;74;0;639;0;0;639;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-18;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Rodolfo;E4:AB:89:6D:33:50;;11;No;WPA2,AES-CCM;No;130.0;0;60;0;1;0;0;1;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Mazzinger;90:55:DE:4E:C2:E8;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;14;0;3;0;0;3;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:18 2023;-34;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;Mywentz 2.4;80:69:33:EC:C2:54;;6;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;111;0;13;0;0;13;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-15;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;Red Comadre Daira;60:E3:27:57:D6:6C;;6;No;WPA2,AES-CCM;No;135.0;0;55;0;0;0;0;0;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;Trinidad;78:29:ED:89:07:5F;;6;No;WPA2,AES-CCM;No;130.0;0;49;0;0;0;0;0;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;Motojuan;CE:FA:4D:25:31:47;;6;No;WPA2,AES-CCM;No;180.0;0;75;0;0;0;0;0;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:37 2023;-24;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Francisca;68:59:11:1A:9F:E8;;12;No;WPA2,AES-CCM;No;270.0;0;42;0;3;0;0;3;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;fernanda;78:29:ED:15:2F:78;;1;No;WPA2,AES-CCM;No;130.0;0;20;0;63;0;0;63;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;movistar2,4GHZ_13B602;78:29:ED:13:B6:02;;1;No;WPA2,AES-CCM;No;130.0;0;35;0;0;0;0;0;;;Sun Aug 27 17:58:34 2023;Sun Aug 27 18:00:36 2023;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;;2C:96:82:0F:68:3E;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Sun Aug 27 17:58:37 2023;Sun Aug 27 18:00:35 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;Carmen;2E:EA:DC:A3:78:D7;;6;No;WPA2,AES-CCM;No;130.0;0;107;0;0;0;0;0;;;Sun Aug 27 17:58:38 2023;Sun Aug 27 18:00:36 2023;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;Cristóbal;CC:ED:DC:6A:F9:BF;;6;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sun Aug 27 17:58:38 2023;Sun Aug 27 18:00:21 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;Cristina;94:91:7F:CF:37:96;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Sun Aug 27 17:58:41 2023;Sun Aug 27 17:58:41 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;movistar2,4GHZ_15513F;E4:AB:89:15:51:3F;;6;No;WPA2,AES-CCM;No;130.0;0;6;0;2;0;0;2;;;Sun Aug 27 17:58:41 2023;Sun Aug 27 18:00:36 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;GAS EL BOSQUE DE HUECHURABA;C8:B4:22:24:C1:EF;;11;No;WPA2,AES-CCM;No;130.0;0;7;0;0;0;0;0;;;Sun Aug 27 17:58:48 2023;Sun Aug 27 18:00:00 2023;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;fh_19b3e8;68:59:11:19:B3:E8;;6;No;WPA2,AES-CCM;No;270.0;0;6;0;4;0;0;4;;;Sun Aug 27 17:58:48 2023;Sun Aug 27 18:00:11 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;Otra vez tu;88:DE:7C:71:7A:1F;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Sun Aug 27 17:58:52 2023;Sun Aug 27 17:58:52 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;fh_8c7a58;6C:A4:D1:8C:7A:58;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Sun Aug 27 17:58:52 2023;Sun Aug 27 18:00:00 2023;-21;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;Yordy 2.4;44:48:B9:B0:86:A8;;11;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sun Aug 27 17:58:52 2023;Sun Aug 27 17:59:49 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;zonaazul1;78:29:ED:15:98:D2;;11;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Sun Aug 27 17:58:55 2023;Sun Aug 27 18:00:28 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;FamiliaRomeroj;CC:ED:DC:33:68:45;;11;No;WPA2,AES-CCM;No;130.0;0;11;0;9;0;0;9;;;Sun Aug 27 17:58:55 2023;Sun Aug 27 18:00:28 2023;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;Maribel;6C:D8:19:67:67:E8;;11;No;WPA2,AES-CCM;No;270.0;0;6;0;1;0;0;1;;;Sun Aug 27 17:58:55 2023;Sun Aug 27 18:00:35 2023;-33;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;Carmen;78:29:ED:12:E6:D2;;1;No;WPA2,AES-CCM;No;130.0;0;10;0;14;0;0;14;;;Sun Aug 27 17:58:56 2023;Sun Aug 27 18:00:36 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;henriquez_pz;78:29:ED:B1:A3:21;;11;No;WPA2,AES-CCM;No;130.0;0;10;0;0;0;0;0;;;Sun Aug 27 17:58:59 2023;Sun Aug 27 18:00:21 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;RockForEver 2.4Ghz.;84:AA:9C:E1:DD:5E;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;1;0;0;1;;;Sun Aug 27 17:59:14 2023;Sun Aug 27 18:00:33 2023;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;Eduardo;7C:DB:98:E0:A5:DF;;1;No;WPA2,AES-CCM;No;130.0;0;1;0;0;0;0;0;;;Sun Aug 27 18:00:18 2023;Sun Aug 27 18:00:22 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
