Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Kiven;CC:ED:DC:51:0E:17;;1;No;WPA2,AES-CCM;No;130.0;0;48;0;83;0;0;83;;;Sun Aug 27 18:01:12 2023;Sun Aug 27 18:03:18 2023;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Procase;E4:AB:89:F6:48:CE;;1;No;WPA2,AES-CCM;No;720.0;0;79;0;1337;0;0;1337;;;Sun Aug 27 18:01:12 2023;Sun Aug 27 18:03:18 2023;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Bryan;F4:6F:ED:CB:84:00;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;50;0;16;0;0;16;;;Sun Aug 27 18:01:12 2023;Sun Aug 27 18:03:18 2023;-15;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;fh_ae42e8;6C:A4:D1:AE:42:E8;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;26;0;1;0;0;1;;;Sun Aug 27 18:01:12 2023;Sun Aug 27 18:03:11 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;fernanda;78:29:ED:15:2F:78;;1;No;WPA2,AES-CCM;No;130.0;0;17;0;3;0;0;3;;;Sun Aug 27 18:01:12 2023;Sun Aug 27 18:03:00 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Salgado;CC:ED:DC:57:C0:A1;;11;No;WPA2,AES-CCM;No;130.0;0;60;0;8;0;0;8;;;Sun Aug 27 18:01:13 2023;Sun Aug 27 18:03:17 2023;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;XD;6C:D8:19:A6:94:90;;8;No;WPA2,AES-CCM;No;130.0;0;73;0;3;0;0;3;;;Sun Aug 27 18:01:13 2023;Sun Aug 27 18:03:19 2023;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Terry;6C:A4:D1:8B:4B:00;;4;No;WPA2,WPA,AES-CCM;No;270.0;0;48;0;3;0;0;3;;;Sun Aug 27 18:01:14 2023;Sun Aug 27 18:03:20 2023;-23;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Yordy 2.4;44:48:B9:B0:86:A8;;11;No;WPA2,AES-CCM;No;130.0;0;14;0;0;0;0;0;;;Sun Aug 27 18:01:15 2023;Sun Aug 27 18:03:13 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Mazzinger;90:55:DE:4E:C2:E8;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;30;0;5;0;0;5;;;Sun Aug 27 18:01:15 2023;Sun Aug 27 18:03:17 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
