LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-08-27 18:01:12,1900-01-00 00:00:00,,18:87:40:49:76:85,-79,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,,E4:AB:89:F6:48:CE,-49, WPA ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,,F4:6F:ED:CB:84:00,-19, ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,,18:87:40:49:76:85,-78,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,,6C:A4:D1:AE:42:E8,-24, ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,,CC:ED:DC:51:0E:17,-21, ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-58, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-56, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,Procase,E4:AB:89:F6:48:CE,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
2023-08-27 18:01:12,1900-01-00 00:00:00,,B0:FC:36:54:4D:B9,-49,,0.000000,0.000000,0.000,0.000,Client
