
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:AB:89:F6:48:CE, 2023-08-27 17:51:02, 2023-08-27 17:53:08,  1, 720, WPA2, CCMP, PSK, -29,       64,     1539,   0.  0.  0.  0,   7, Procase, 
64:64:4A:44:9E:61, 2023-08-27 17:51:02, 2023-08-27 17:53:08,  1, 130, WPA2, CCMP TKIP, PSK, -25,       10,        3,   0.  0.  0.  0,   6, Martin, 
6C:D8:19:A6:94:90, 2023-08-27 17:51:03, 2023-08-27 17:53:09,  8, 130, WPA2, CCMP, PSK, -25,       38,        8,   0.  0.  0.  0,   2, XD, 
6C:A4:D1:8B:4B:00, 2023-08-27 17:51:05, 2023-08-27 17:53:10,  4, 270, WPA2 WPA, CCMP, PSK, -30,       24,        3,   0.  0.  0.  0,   5, Terry, 
D6:59:60:0F:65:2C, 2023-08-27 17:51:05, 2023-08-27 17:53:07, 11, 360, WPA2, CCMP, PSK, -11,       92,        1,   0.  0.  0.  0,  20, Xiaomi 11 Lite 5G NE, 
CC:ED:DC:57:C0:A1, 2023-08-27 17:51:05, 2023-08-27 17:53:10, 11, 130, WPA2, CCMP, PSK, -50,       95,       12,   0.  0.  0.  0,   7, Salgado, 
78:29:ED:08:52:97, 2023-08-27 17:51:05, 2023-08-27 17:53:08, 11, 130, WPA2, CCMP, PSK, -31,       46,        7,   0.  0.  0.  0,   7, lorenzo, 
E4:AB:89:6D:33:50, 2023-08-27 17:51:05, 2023-08-27 17:53:07, 11, 130, WPA2, CCMP, PSK, -27,       36,        0,   0.  0.  0.  0,   7, Rodolfo, 
78:29:ED:13:99:1F, 2023-08-27 17:51:05, 2023-08-27 17:53:07, 11, 130, WPA2, CCMP, PSK, -22,       33,        2,   0.  0.  0.  0,   8, Roberto , 
80:78:71:4D:19:3B, 2023-08-27 17:51:05, 2023-08-27 17:52:24, 11, 130, WPA2, CCMP, PSK, -32,        4,        0,   0.  0.  0.  0,   6, JOAKIN, 
78:29:ED:89:07:5F, 2023-08-27 17:51:06, 2023-08-27 17:53:04,  6, 130, WPA2, CCMP, PSK, -30,       26,        2,   0.  0.  0.  0,   8, Trinidad, 
60:E3:27:57:D6:6C, 2023-08-27 17:51:06, 2023-08-27 17:52:03,  6, 135, WPA2, CCMP, PSK, -32,        2,        0,   0.  0.  0.  0,  17, Red Comadre Daira, 
2E:EA:DC:A3:78:D7, 2023-08-27 17:51:06, 2023-08-27 17:53:04,  6, 130, WPA2, CCMP, PSK, -26,       30,        0,   0.  0.  0.  0,   6, Carmen, 
68:59:11:1A:9F:E8, 2023-08-27 17:51:06, 2023-08-27 17:53:04, 12, 270, WPA2, CCMP, PSK, -32,       16,        6,   0.  0.  0.  0,   9, Francisca, 
CC:ED:DC:51:0E:17, 2023-08-27 17:51:06, 2023-08-27 17:53:04,  1, 130, WPA2, CCMP, PSK, -19,       37,       82,   0.  0.  0.  0,   5, Kiven, 
78:29:ED:13:B6:02, 2023-08-27 17:51:06, 2023-08-27 17:53:08,  1, 130, WPA2, CCMP, PSK, -73,       36,        2,   0.  0.  0.  0,  21, movistar2,4GHZ_13B602, 
E4:AB:89:05:93:5C, 2023-08-27 17:51:06, 2023-08-27 17:53:04,  1, 130, WPA2, CCMP, PSK, -30,        9,        0,   0.  0.  0.  0,   8, La mejor, 
F4:6F:ED:CB:84:00, 2023-08-27 17:51:06, 2023-08-27 17:53:08,  1, 130, WPA2 WPA, CCMP, PSK, -14,       27,        3,   0.  0.  0.  0,   5, Bryan, 
6C:A4:D1:AE:42:E8, 2023-08-27 17:51:06, 2023-08-27 17:53:04,  1, 130, WPA2 WPA, CCMP, PSK, -30,       18,        0,   0.  0.  0.  0,   9, fh_ae42e8, 
CC:ED:DC:33:68:45, 2023-08-27 17:51:09, 2023-08-27 17:52:49, 11, 130, WPA2, CCMP, PSK, -32,        1,        2,   0.  0.  0.  0,  14, FamiliaRomeroj, 
6C:A4:D1:8C:7A:58, 2023-08-27 17:51:09, 2023-08-27 17:53:07, 11, 130, WPA2 WPA, CCMP, PSK, -29,       21,        0,   0.  0.  0.  0,   9, fh_8c7a58, 
CE:FA:4D:25:31:47, 2023-08-27 17:51:09, 2023-08-27 17:53:08,  6, 180, WPA2, CCMP, PSK, -28,       52,        0,   0.  0.  0.  0,   8, Motojuan, 
7C:DB:98:E0:A5:DF, 2023-08-27 17:51:10, 2023-08-27 17:52:54,  1, 130, WPA2, CCMP, PSK, -29,        3,        1,   0.  0.  0.  0,   7, Eduardo, 
78:29:ED:15:2F:78, 2023-08-27 17:51:10, 2023-08-27 17:53:01,  1, 130, WPA2, CCMP, PSK, -28,        4,       14,   0.  0.  0.  0,   8, fernanda, 
90:55:DE:4E:C2:E8, 2023-08-27 17:51:13, 2023-08-27 17:53:03, 11, 130, WPA2 WPA, CCMP, PSK, -29,       22,        2,   0.  0.  0.  0,   9, Mazzinger, 
80:69:33:EC:C2:54, 2023-08-27 17:51:13, 2023-08-27 17:53:04,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -25,       24,        5,   0.  0.  0.  0,  11, Mywentz 2.4, 
80:78:71:4C:46:FF, 2023-08-27 17:51:16, 2023-08-27 17:51:16, 11, 130, WPA2, CCMP, PSK, -33,        1,        0,   0.  0.  0.  0,   8, Ratatopo, 
78:29:ED:12:E6:D2, 2023-08-27 17:51:20, 2023-08-27 17:53:08,  1,  -1, WPA, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
88:DE:7C:71:7A:1F, 2023-08-27 17:51:27, 2023-08-27 17:53:03, 11, 130, WPA2, CCMP, PSK, -31,        3,        0,   0.  0.  0.  0,  11, Otra vez tu, 
78:29:ED:15:98:D2, 2023-08-27 17:51:59, 2023-08-27 17:51:59, 11, 130, WPA2, CCMP, PSK, -30,        0,        0,   0.  0.  0.  0,   9, zonaazul1, 
C2:67:73:60:6B:74, 2023-08-27 17:52:17, 2023-08-27 17:52:39,  6, 180, WPA2, CCMP, PSK, -26,        9,        0,   0.  0.  0.  0,   6, Jsjsjs, 
D4:72:26:D2:94:C2, 2023-08-27 17:53:07, 2023-08-27 17:53:07, 11, 130, WPA2, CCMP, PSK, -32,        0,        0,   0.  0.  0.  0,  16, FamiliaRodriguez, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:FC:36:54:4D:B9, 2023-08-27 17:51:02, 2023-08-27 17:53:08, -20,     1247, E4:AB:89:F6:48:CE,
44:F0:34:27:D5:AC, 2023-08-27 17:51:02, 2023-08-27 17:53:08, -83,      710, 64:64:4A:44:9E:61,Martin
62:F9:8B:83:31:8F, 2023-08-27 17:51:05, 2023-08-27 17:51:05, -82,        3, (not associated) ,
72:E3:27:57:D6:6C, 2023-08-27 17:51:06, 2023-08-27 17:53:08, -86,       29, 78:29:ED:08:52:97,lorenzo
E2:97:D1:96:DC:67, 2023-08-27 17:51:06, 2023-08-27 17:51:06, -76,        1, (not associated) ,
F4:30:8B:30:26:5C, 2023-08-27 17:51:06, 2023-08-27 17:52:46, -83,       34, CC:ED:DC:51:0E:17,
E4:AB:89:F6:48:CE, 2023-08-27 17:51:06, 2023-08-27 17:53:08,  -1,       19, E4:AB:89:F6:48:CE,
BC:6A:D1:BD:33:9C, 2023-08-27 17:51:06, 2023-08-27 17:52:46, -37,      395, E4:AB:89:F6:48:CE,
06:1A:9B:33:BF:C8, 2023-08-27 17:51:08, 2023-08-27 17:51:08, -74,        4, (not associated) ,
1A:CF:84:4B:EE:A2, 2023-08-27 17:51:10, 2023-08-27 17:51:53, -84,        2, CC:ED:DC:51:0E:17,
5A:5B:34:94:B6:AC, 2023-08-27 17:51:12, 2023-08-27 17:51:13, -82,        3, (not associated) ,
18:87:40:49:76:85, 2023-08-27 17:51:14, 2023-08-27 17:52:54, -80,       16, CC:ED:DC:51:0E:17,
FE:33:DC:92:88:F3, 2023-08-27 17:51:14, 2023-08-27 17:51:15, -67,        7, (not associated) ,sasumg j7
64:64:4A:44:9E:61, 2023-08-27 17:51:16, 2023-08-27 17:51:16, -85,        1, (not associated) ,Carmen
EA:CD:AB:37:57:8D, 2023-08-27 17:51:16, 2023-08-27 17:51:16, -79,        1, (not associated) ,
98:C9:7C:BD:75:E4, 2023-08-27 17:51:19, 2023-08-27 17:51:19, -85,        1, (not associated) ,
66:64:4A:04:9E:61, 2023-08-27 17:51:20, 2023-08-27 17:53:08, -78,        5, 78:29:ED:12:E6:D2,Carmen
D8:9E:61:29:88:5D, 2023-08-27 17:51:20, 2023-08-27 17:51:20, -44,        1, E4:AB:89:F6:48:CE,
C0:38:96:FE:DF:B7, 2023-08-27 17:51:21, 2023-08-27 17:52:53, -86,        5, (not associated) ,HELLEN 2,4Ghz
C0:D2:F3:99:F4:AE, 2023-08-27 17:51:27, 2023-08-27 17:51:27, -85,        1, 78:29:ED:13:99:1F,
B4:C9:B9:27:D1:03, 2023-08-27 17:51:28, 2023-08-27 17:51:28, -74,        1, 7C:DB:98:E0:A5:DF,
DE:CD:24:B8:99:86, 2023-08-27 17:51:31, 2023-08-27 17:52:20, -66,        8, (not associated) ,
24:FC:E5:A1:CD:1A, 2023-08-27 17:51:38, 2023-08-27 17:51:38, -83,        1, 80:69:33:EC:C2:54,
6E:BA:AB:C9:84:D2, 2023-08-27 17:51:41, 2023-08-27 17:51:41, -85,        2, (not associated) ,
26:29:7F:84:A4:D1, 2023-08-27 17:51:53, 2023-08-27 17:52:54,  -1,       45, CC:ED:DC:51:0E:17,
F0:F0:A4:87:F9:F7, 2023-08-27 17:51:56, 2023-08-27 17:51:56,  -1,        1, D6:59:60:0F:65:2C,
D4:F5:47:4E:CE:1C, 2023-08-27 17:51:59, 2023-08-27 17:53:02, -69,       12, (not associated) ,Procase
38:B1:DB:2B:4C:00, 2023-08-27 17:52:00, 2023-08-27 17:52:00, -74,        1, CC:ED:DC:51:0E:17,
F0:EF:86:3E:EB:29, 2023-08-27 17:52:04, 2023-08-27 17:53:08, -65,        7, (not associated) ,Procase
E8:84:A5:10:BA:7B, 2023-08-27 17:52:16, 2023-08-27 17:52:17, -40,        2, (not associated) ,Procase
86:CC:01:9A:38:6F, 2023-08-27 17:52:20, 2023-08-27 17:52:21, -77,        7, (not associated) ,
20:3D:BD:C7:B9:E0, 2023-08-27 17:52:21, 2023-08-27 17:52:21,  -1,        1, 78:29:ED:89:07:5F,
34:F1:50:CE:40:87, 2023-08-27 17:52:21, 2023-08-27 17:52:21,  -1,        2, F4:6F:ED:CB:84:00,
86:ED:41:82:78:ED, 2023-08-27 17:52:27, 2023-08-27 17:52:52, -64,        5, 6C:A4:D1:8B:4B:00,
22:45:87:F0:F4:06, 2023-08-27 17:52:35, 2023-08-27 17:52:35, -76,        2, (not associated) ,
FA:5A:35:29:0A:21, 2023-08-27 17:52:36, 2023-08-27 17:52:36, -84,        2, (not associated) ,
FA:AE:71:07:19:C7, 2023-08-27 17:52:39, 2023-08-27 17:52:39,  -1,       13, 78:29:ED:15:2F:78,
44:CB:8B:2A:01:CA, 2023-08-27 17:52:50, 2023-08-27 17:52:50, -76,        1, F4:6F:ED:CB:84:00,
C2:F4:D6:22:F9:3B, 2023-08-27 17:53:02, 2023-08-27 17:53:02,  -1,        1, 6C:D8:19:A6:94:90,

