Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Procase;E4:AB:89:F6:48:CE;;1;No;WPA2,AES-CCM;No;720.0;0;64;0;1539;0;0;1539;;;Sun Aug 27 17:51:02 2023;Sun Aug 27 17:53:08 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Martin;64:64:4A:44:9E:61;;1;No;WPA2,AES-CCM,TKIP;No;130.0;0;10;0;3;0;0;3;;;Sun Aug 27 17:51:02 2023;Sun Aug 27 17:53:08 2023;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;XD;6C:D8:19:A6:94:90;;8;No;WPA2,AES-CCM;No;130.0;0;38;0;8;0;0;8;;;Sun Aug 27 17:51:03 2023;Sun Aug 27 17:53:09 2023;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Terry;6C:A4:D1:8B:4B:00;;4;No;WPA2,WPA,AES-CCM;No;270.0;0;24;0;3;0;0;3;;;Sun Aug 27 17:51:05 2023;Sun Aug 27 17:53:10 2023;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Xiaomi 11 Lite 5G NE;D6:59:60:0F:65:2C;;11;No;WPA2,AES-CCM;No;360.0;0;92;0;1;0;0;1;;;Sun Aug 27 17:51:05 2023;Sun Aug 27 17:53:07 2023;-11;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Salgado;CC:ED:DC:57:C0:A1;;11;No;WPA2,AES-CCM;No;130.0;0;95;0;12;0;0;12;;;Sun Aug 27 17:51:05 2023;Sun Aug 27 17:53:10 2023;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;lorenzo;78:29:ED:08:52:97;;11;No;WPA2,AES-CCM;No;130.0;0;46;0;7;0;0;7;;;Sun Aug 27 17:51:05 2023;Sun Aug 27 17:53:08 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Rodolfo;E4:AB:89:6D:33:50;;11;No;WPA2,AES-CCM;No;130.0;0;36;0;0;0;0;0;;;Sun Aug 27 17:51:05 2023;Sun Aug 27 17:53:07 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Roberto ;78:29:ED:13:99:1F;;11;No;WPA2,AES-CCM;No;130.0;0;33;0;2;0;0;2;;;Sun Aug 27 17:51:05 2023;Sun Aug 27 17:53:07 2023;-22;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;JOAKIN;80:78:71:4D:19:3B;;11;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Sun Aug 27 17:51:05 2023;Sun Aug 27 17:52:24 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Trinidad;78:29:ED:89:07:5F;;6;No;WPA2,AES-CCM;No;130.0;0;26;0;2;0;0;2;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:04 2023;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;Red Comadre Daira;60:E3:27:57:D6:6C;;6;No;WPA2,AES-CCM;No;135.0;0;2;0;0;0;0;0;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:52:03 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;Carmen;2E:EA:DC:A3:78:D7;;6;No;WPA2,AES-CCM;No;130.0;0;30;0;0;0;0;0;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:04 2023;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Francisca;68:59:11:1A:9F:E8;;12;No;WPA2,AES-CCM;No;270.0;0;16;0;6;0;0;6;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:04 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;Kiven;CC:ED:DC:51:0E:17;;1;No;WPA2,AES-CCM;No;130.0;0;37;0;82;0;0;82;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:04 2023;-19;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;movistar2,4GHZ_13B602;78:29:ED:13:B6:02;;1;No;WPA2,AES-CCM;No;130.0;0;36;0;2;0;0;2;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:08 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;La mejor;E4:AB:89:05:93:5C;;1;No;WPA2,AES-CCM;No;130.0;0;9;0;0;0;0;0;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:04 2023;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;Bryan;F4:6F:ED:CB:84:00;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;27;0;3;0;0;3;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:08 2023;-14;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;fh_ae42e8;6C:A4:D1:AE:42:E8;;1;No;WPA2,WPA,AES-CCM;No;130.0;0;18;0;0;0;0;0;;;Sun Aug 27 17:51:06 2023;Sun Aug 27 17:53:04 2023;-30;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;FamiliaRomeroj;CC:ED:DC:33:68:45;;11;No;WPA2,AES-CCM;No;130.0;0;1;0;2;0;0;2;;;Sun Aug 27 17:51:09 2023;Sun Aug 27 17:52:49 2023;-32;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;fh_8c7a58;6C:A4:D1:8C:7A:58;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;21;0;0;0;0;0;;;Sun Aug 27 17:51:09 2023;Sun Aug 27 17:53:07 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;Motojuan;CE:FA:4D:25:31:47;;6;No;WPA2,AES-CCM;No;180.0;0;52;0;0;0;0;0;;;Sun Aug 27 17:51:09 2023;Sun Aug 27 17:53:08 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;Eduardo;7C:DB:98:E0:A5:DF;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;1;0;0;1;;;Sun Aug 27 17:51:10 2023;Sun Aug 27 17:52:54 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;fernanda;78:29:ED:15:2F:78;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;14;0;0;14;;;Sun Aug 27 17:51:10 2023;Sun Aug 27 17:53:01 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;Mazzinger;90:55:DE:4E:C2:E8;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;22;0;2;0;0;2;;;Sun Aug 27 17:51:13 2023;Sun Aug 27 17:53:03 2023;-29;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;Mywentz 2.4;80:69:33:EC:C2:54;;6;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;24;0;5;0;0;5;;;Sun Aug 27 17:51:13 2023;Sun Aug 27 17:53:04 2023;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;;78:29:ED:12:E6:D2;;1;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Sun Aug 27 17:51:20 2023;Sun Aug 27 17:53:08 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;Otra vez tu;88:DE:7C:71:7A:1F;;11;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sun Aug 27 17:51:27 2023;Sun Aug 27 17:53:03 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;Jsjsjs;C2:67:73:60:6B:74;;6;No;WPA2,AES-CCM;No;180.0;0;9;0;0;0;0;0;;;Sun Aug 27 17:52:17 2023;Sun Aug 27 17:52:39 2023;-26;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
