
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:AB:89:F6:48:CE, 2023-08-27 17:47:27, 2023-08-27 17:49:32,  1, 720, WPA2, CCMP, PSK, -58,       88,     1163,   0.  0.  0.  0,   7, Procase, 
46:48:B9:05:FC:3E, 2023-08-27 17:47:27, 2023-08-27 17:49:25,  1, 270, WPA2, CCMP, PSK, -31,       22,        0,   0.  0.  0.  0,   5, Sacha, 
CC:ED:DC:51:0E:17, 2023-08-27 17:47:28, 2023-08-27 17:49:32,  1, 130, WPA2, CCMP, PSK, -27,       63,       74,   0.  0.  0.  0,   5, Kiven, 
6C:D8:19:A6:94:90, 2023-08-27 17:47:28, 2023-08-27 17:49:26,  8, 130, WPA2, CCMP, PSK, -33,       46,        2,   0.  0.  0.  0,   2, XD, 
30:FB:B8:B3:47:80, 2023-08-27 17:47:29, 2023-08-27 17:49:30,  3, 130, WPA2 WPA, CCMP TKIP, PSK, -27,       70,       19,   0.  0.  0.  0,  20, MundoPacifico_Bbgeuk, 
58:AE:F1:71:A5:30, 2023-08-27 17:47:29, 2023-08-27 17:49:31,  9, 270, WPA2 WPA, CCMP, PSK, -27,       77,        3,   0.  0.  0.  0,   6, Olifer, 
6C:A4:D1:8C:7A:58, 2023-08-27 17:47:29, 2023-08-27 17:49:31, 11, 130, WPA2 WPA, CCMP, PSK, -28,       74,       30,   0.  0.  0.  0,   9, fh_8c7a58, 
78:29:ED:13:B6:02, 2023-08-27 17:47:30, 2023-08-27 17:49:32,  1, 130, WPA2, CCMP, PSK,  -6,      120,      452,   0.  0.  0.  0,  21, movistar2,4GHZ_13B602, 
78:29:ED:08:52:97, 2023-08-27 17:47:30, 2023-08-27 17:49:32, 11, 130, WPA2, CCMP, PSK, -81,       85,       53,   0.  0.  0.  0,   7, lorenzo, 
CC:ED:DC:57:C0:A1, 2023-08-27 17:47:30, 2023-08-27 17:49:32, 11, 130, WPA2, CCMP, PSK, -25,       75,        8,   0.  0.  0.  0,   7, Salgado, 
60:E3:27:57:D6:6C, 2023-08-27 17:47:30, 2023-08-27 17:49:21,  6, 135, WPA2, CCMP, PSK, -30,       29,        0,   0.  0.  0.  0,  17, Red Comadre Daira, 
68:59:11:1A:9F:E8, 2023-08-27 17:47:30, 2023-08-27 17:49:32, 12, 270, WPA2, CCMP, PSK, -31,       65,        5,   0.  0.  0.  0,   9, Francisca, 
88:DE:7C:71:7A:1F, 2023-08-27 17:47:33, 2023-08-27 17:49:32, 11, 130, WPA2, CCMP, PSK, -35,       36,        0,   0.  0.  0.  0,  11, Otra vez tu, 
76:93:DA:60:CC:3F, 2023-08-27 17:47:45, 2023-08-27 17:49:11,  1, 130, WPA2, CCMP, PSK, -30,        4,        0,   0.  0.  0.  0,   6, Pelusa, 
80:78:71:4D:19:3B, 2023-08-27 17:47:48, 2023-08-27 17:47:51, 11, 130, WPA2, CCMP, PSK, -88,        2,        1,   0.  0.  0.  0,   6, JOAKIN, 
78:29:ED:13:99:1F, 2023-08-27 17:47:51, 2023-08-27 17:49:24, 11, 130, WPA2, CCMP, PSK, -35,       17,        0,   0.  0.  0.  0,   8, Roberto , 
84:06:FA:42:F5:C8, 2023-08-27 17:48:10, 2023-08-27 17:49:29,  1, 130, WPA2 WPA, CCMP, PSK, -31,        5,        2,   0.  0.  0.  0,   9, fh_42f5c8, 
7C:DB:98:DF:62:6F, 2023-08-27 17:48:10, 2023-08-27 17:49:11,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D6:59:60:0F:65:2C, 2023-08-27 17:48:38, 2023-08-27 17:49:28, 11, 360, WPA2, CCMP, PSK, -34,        2,        0,   0.  0.  0.  0,  20, Xiaomi 11 Lite 5G NE, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:FC:36:54:4D:B9, 2023-08-27 17:47:27, 2023-08-27 17:49:32, -71,     1156, E4:AB:89:F6:48:CE,
18:87:40:49:76:85, 2023-08-27 17:47:28, 2023-08-27 17:49:29, -89,       41, CC:ED:DC:51:0E:17,
DA:E8:35:FB:B6:DA, 2023-08-27 17:47:30, 2023-08-27 17:48:13, -54,      514, 78:29:ED:13:B6:02,
72:E3:27:57:D6:6C, 2023-08-27 17:47:30, 2023-08-27 17:49:32, -88,      414, 78:29:ED:08:52:97,lorenzo
5E:B6:A5:91:5D:27, 2023-08-27 17:47:33, 2023-08-27 17:48:55, -84,        9, 58:AE:F1:71:A5:30,
26:29:7F:84:A4:D1, 2023-08-27 17:47:34, 2023-08-27 17:49:32, -77,      120, CC:ED:DC:51:0E:17,
3A:6D:54:55:53:93, 2023-08-27 17:47:36, 2023-08-27 17:48:12, -86,        7, 30:FB:B8:B3:47:80,
E4:AB:89:F6:48:CE, 2023-08-27 17:47:41, 2023-08-27 17:49:21,  -1,       14, E4:AB:89:F6:48:CE,
D4:F5:47:4E:CE:1C, 2023-08-27 17:47:42, 2023-08-27 17:48:46, -46,       14, (not associated) ,Procase
CA:82:22:BA:AF:62, 2023-08-27 17:47:45, 2023-08-27 17:47:45, -48,        1, (not associated) ,
F0:EF:86:3E:EB:29, 2023-08-27 17:47:47, 2023-08-27 17:47:48, -28,        7, (not associated) ,Procase
30:AA:E4:CE:29:56, 2023-08-27 17:47:55, 2023-08-27 17:49:32,  -1,       24, 78:29:ED:08:52:97,
C0:D2:F3:99:F4:AE, 2023-08-27 17:48:06, 2023-08-27 17:48:06, -86,        1, 78:29:ED:13:99:1F,
70:C9:4E:1B:E5:D8, 2023-08-27 17:48:10, 2023-08-27 17:49:11, -82,        2, 7C:DB:98:DF:62:6F,
2E:0A:16:80:F2:38, 2023-08-27 17:48:13, 2023-08-27 17:48:13,  -1,        1, 68:59:11:1A:9F:E8,
08:38:69:04:19:89, 2023-08-27 17:48:13, 2023-08-27 17:48:34, -79,        2, 68:59:11:1A:9F:E8,
D8:9E:61:29:88:5D, 2023-08-27 17:48:17, 2023-08-27 17:49:11,  -1,       24, E4:AB:89:F6:48:CE,
FA:57:5B:74:4B:68, 2023-08-27 17:48:22, 2023-08-27 17:48:22, -81,        1, (not associated) ,
F6:0C:AA:33:50:88, 2023-08-27 17:48:23, 2023-08-27 17:48:56,  -1,       29, 6C:A4:D1:8C:7A:58,
9A:1C:BF:43:49:EA, 2023-08-27 17:48:39, 2023-08-27 17:48:39, -85,        9, 7C:DB:98:DF:62:6F,
54:BA:D6:8B:B7:24, 2023-08-27 17:48:46, 2023-08-27 17:48:46, -83,        1, CC:ED:DC:51:0E:17,
94:08:53:F3:9D:12, 2023-08-27 17:49:07, 2023-08-27 17:49:07, -89,        1, 6C:A4:D1:8C:7A:58,
BC:6A:D1:BD:33:9C, 2023-08-27 17:49:11, 2023-08-27 17:49:11, -82,        9, E4:AB:89:F6:48:CE,
E8:5A:8B:E8:E6:43, 2023-08-27 17:49:22, 2023-08-27 17:49:22, -82,        1, (not associated) ,

