Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Procase;E4:AB:89:F6:48:CE;;1;No;WPA2,AES-CCM;No;720.0;0;88;0;1163;0;0;1163;;;Sun Aug 27 17:47:27 2023;Sun Aug 27 17:49:32 2023;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Sacha;46:48:B9:05:FC:3E;;1;No;WPA2,AES-CCM;No;270.0;0;22;0;0;0;0;0;;;Sun Aug 27 17:47:27 2023;Sun Aug 27 17:49:25 2023;-31;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;Kiven;CC:ED:DC:51:0E:17;;1;No;WPA2,AES-CCM;No;130.0;0;63;0;74;0;0;74;;;Sun Aug 27 17:47:28 2023;Sun Aug 27 17:49:32 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;XD;6C:D8:19:A6:94:90;;8;No;WPA2,AES-CCM;No;130.0;0;46;0;2;0;0;2;;;Sun Aug 27 17:47:28 2023;Sun Aug 27 17:49:26 2023;-33;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;MundoPacifico_Bbgeuk;30:FB:B8:B3:47:80;;3;No;WPA2,WPA,AES-CCM,TKIP;No;130.0;0;70;0;19;0;0;19;;;Sun Aug 27 17:47:29 2023;Sun Aug 27 17:49:30 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Olifer;58:AE:F1:71:A5:30;;9;No;WPA2,WPA,AES-CCM;No;270.0;0;77;0;3;0;0;3;;;Sun Aug 27 17:47:29 2023;Sun Aug 27 17:49:31 2023;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;fh_8c7a58;6C:A4:D1:8C:7A:58;;11;No;WPA2,WPA,AES-CCM;No;130.0;0;74;0;30;0;0;30;;;Sun Aug 27 17:47:29 2023;Sun Aug 27 17:49:31 2023;-28;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;movistar2,4GHZ_13B602;78:29:ED:13:B6:02;;1;No;WPA2,AES-CCM;No;130.0;0;120;0;452;0;0;452;;;Sun Aug 27 17:47:30 2023;Sun Aug 27 17:49:32 2023;-6;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;lorenzo;78:29:ED:08:52:97;;11;No;WPA2,AES-CCM;No;130.0;0;85;0;53;0;0;53;;;Sun Aug 27 17:47:30 2023;Sun Aug 27 17:49:32 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Salgado;CC:ED:DC:57:C0:A1;;11;No;WPA2,AES-CCM;No;130.0;0;75;0;8;0;0;8;;;Sun Aug 27 17:47:30 2023;Sun Aug 27 17:49:32 2023;-25;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
